,f,Sgcc,varSgcc,Nsec,meanS,chiDelta
0,0.0,,,,,
1,0.00390625,,,,,
2,0.0078125,,,,,
3,0.01171875,,,,,
4,0.015625,,,,,
5,0.01953125,,,,,
6,0.0234375,,,,,
7,0.02734375,,,,,
8,0.03125,,,,,
9,0.03515625,,,,,
10,0.0390625,,,,,
11,0.04296875,,,,,
12,0.046875,,,,,
13,0.05078125,,,,,
14,0.0546875,,,,,
15,0.05859375,,,,,
16,0.0625,,,,,
17,0.06640625,,,,,
18,0.0703125,,,,,
19,0.07421875,,,,,
20,0.078125,,,,,
21,0.08203125,,,,,
22,0.0859375,,,,,
23,0.08984375,,,,,
24,0.09375,,,,,
25,0.09765625,,,,,
26,0.1015625,,,,,
27,0.10546875,,,,,
28,0.109375,,,,,
29,0.11328125,,,,,
30,0.1171875,,,,,
31,0.12109375,,,,,
32,0.125,,,,,
33,0.12890625,,,,,
34,0.1328125,,,,,
35,0.13671875,,,,,
36,0.140625,,,,,
37,0.14453125,,,,,
38,0.1484375,,,,,
39,0.15234375,,,,,
40,0.15625,,,,,
41,0.16015625,,,,,
42,0.1640625,,,,,
43,0.16796875,,,,,
44,0.171875,,,,,
45,0.17578125,,,,,
46,0.1796875,,,,,
47,0.18359375,,,,,
48,0.1875,,,,,
49,0.19140625,,,,,
50,0.1953125,,,,,
51,0.19921875,,,,,
52,0.203125,,,,,
53,0.20703125,,,,,
54,0.2109375,,,,,
55,0.21484375,,,,,
56,0.21875,,,,,
57,0.22265625,,,,,
58,0.2265625,,,,,
59,0.23046875,,,,,
60,0.234375,,,,,
61,0.23828125,,,,,
62,0.2421875,,,,,
63,0.24609375,,,,,
64,0.25,,,,,
65,0.25390625,,,,,
66,0.2578125,,,,,
67,0.26171875,,,,,
68,0.265625,,,,,
69,0.26953125,,,,,
70,0.2734375,,,,,
71,0.27734375,,,,,
72,0.28125,,,,,
73,0.28515625,,,,,
74,0.2890625,,,,,
75,0.29296875,,,,,
76,0.296875,,,,,
77,0.30078125,,,,,
78,0.3046875,,,,,
79,0.30859375,,,,,
80,0.3125,,,,,
81,0.31640625,,,,,
82,0.3203125,,,,,
83,0.32421875,,,,,
84,0.328125,,,,,
85,0.33203125,,,,,
86,0.3359375,,,,,
87,0.33984375,,,,,
88,0.34375,,,,,
89,0.34765625,,,,,
90,0.3515625,,,,,
91,0.35546875,,,,,
92,0.359375,,,,,
93,0.36328125,,,,,
94,0.3671875,,,,,
95,0.37109375,,,,,
96,0.375,,,,,
97,0.37890625,,,,,
98,0.3828125,,,,,
99,0.38671875,,,,,
100,0.390625,,,,,
101,0.39453125,,,,,
102,0.3984375,,,,,
103,0.40234375,,,,,
104,0.40625,,,,,
105,0.41015625,,,,,
106,0.4140625,,,,,
107,0.41796875,,,,,
